id owner collateral collateral-token collateral-type created-at-block-height debt is-liquidated leftover-collateral updated-at-block-height
429 SPK7BNCX511MKE1173RQZCNKQDPVMNNSXEPJSKFN 0 STX STX-A 34693 12828 True 1225 63708
435 SP1079Y0A0F03TM9M6W0NW6ER7MNX1W2FZF37X05V 0 STX STX-A 34698 61668 True 7656 63708
436 SP2B2MZB2QPZF1GWRR6MT4N0JKPAQGT6H0YC6QEB6 0 STX STX-A 34698 61668 True 7656 63708
437 SPT7J3VXH570NNCKRVJ7YEMBB5S7F2418RMH4KHM 0 xSTX STX-A 34698 573000000 True 0 63000
441 SPK8X4P1YWBVHHZFTSZNXN4SVYCGY7B0PYYYB682 0 xSTX STX-A 34700 5000000 True 0 63000
442 SP3VH4DZ7HJYVHJYWE3JZ6A6XV5YEZW0TZFP55FVJ 0 xSTX STX-A 34700 645859711 True 256541958 64114
443 SPMHBW0ME2NPEBGGQ3H56Q159FNFR79DD6WNVJMG 15000000 STX STX-A 34700 34927 False 0 48591
445 SP2B5ZG6JA7HBWP3DMC1600V02D1EQ2Z88HJGQD9V 0 xSTX STX-A 34701 286000000 True 0 63000
447 SPW813D5F5T8DFKE7ZSC14AZKSV80MAAM670HX7T 0 xSTX STX-A 34702 99368740 True 0 63000
452 SP168KQV2ME5PDA6P6KRQ49M7ZED1TYC0JMX2VNDK 1000000000 STX STX-A 34705 0 False 0 40455
453 SPXEKXFSG75TQ28CQK6D6T49ZFV0B15Z963VV8A8 0 STX STX-A 34706 63509 True 4781 63708
455 SPYZ6387K72YC3VS7PNYVM8CKF5YZWZSKKG49R5C 0 STX STX-A 34707 21195 True 1937 63708
457 SP2SWNHT2Z548J90EY7M5QCW1GXSZ0PH0CR954SXB 0 xSTX STX-A 34707 197615449 True 42356758 64114
458 SP18F9RXVS407Q1Y041W8NWYGB8N2FFT48B5D7FBP 8038434188 STX STX-A 34708 335874312 False 0 119052
460 SP1AQEC1851MKFSEXT8097C3K405CBC2A817AQTRF 0 STX STX-A 34708 64863 True 5869 63708
461 SP3FHNWS9Y4BP21MHEHTJYS7N4A7X7JJ3PA69T5BE 0 STX STX-A 34708 21621 True 1957 63708
462 SP1FWMX2QG3KN6BARN7R59TY4MK9K5XTSMA66YSJ7 0 STX STX-A 34708 64863 True 5869 63708
465 SP1Z938956ACRTVVK7KBVXH3TQE1G5PWBN4HX1CGW 0 xSTX STX-A 34710 170000000 True 0 64114
468 SP1HCKCWNY6FGHD6BZSW8DJEYAHC9242WEHGZXZRD 0 STX STX-B 34715 123034 True 16983 82833
470 SP1JBH2QG5PVT74HYP2CV9T5XRJSP81GYZBVEQ93K 0 STX STX-A 34715 64832 True 25830 63707
471 SP2SS5X5R5H1QG2Z9G2P2S0MMCKPJ149MW6QVST4W 0 STX STX-A 34715 21611 True 5547 63707
472 SP1HCKCWNY6FGHD6BZSW8DJEYAHC9242WEHGZXZRD 0 STX STX-B 34715 285474 True 13407 63707
473 SP2CCXSJQDEXQYTV5MWFTTK6SWMCPGY2G05DS1MM6 100000000 STX STX-A 34716 0 False 0 131836
475 SPWP00Z94PZNMX2BMN305M0Y9CWCCQ5PXQJQA1X0 0 xSTX STX-A 34718 1400000000 True 4723203 63000
476 SP3YMA76EEMEJF84G4DVQ5DDTZVTFWNXSEZSEZEKJ 0 STX STX-B 34718 172521 True 0 59706
483 SP2QHQK90HWT2WRRDDS18FB7C8J5PF6ZAJ58J7YSD 0 xSTX STX-A 34724 22000000 True 0 63000
484 SP1A6GA5HW38SXKQRXSV2DDET8XEJ9F8KSXNNS422 0 STX STX-A 34724 64796 True 16997 63707
485 SP36HHQ8VD4GDJTAMEX3HZ2SP15KVHVFMDJR57CPR 0 STX STX-A 34724 21599 True 5544 63707
486 SPKQ7Y5HQ56S9E93X27YA31GV65SY6BYWA48SFF6 0 STX STX-A 34724 64796 True 26672 63707
489 SP6Z0QQR7WBY4MDSY4F59V5YCT29B9KPQJT0TF45 0 xSTX STX-A 34724 1233000000 True 0 63000
490 SP1HW33XWKZERZCNCV8NNEAAVEKTJAGT7XTH6VG62 0 xSTX STX-A 34724 94000000 True 0 63000
491 SP1Y8PTDHGHTFQNM9T6P0XZ1EBHH6K6H152G85809 0 STX STX-B 34725 700000000 True 208851329 50049
492 SP1MS7KGA5WESV319PV9GVKW2FFJJ1YNT9ETC6FQC 0 STX STX-A 34726 866295 True 8468 59618
493 SP2MNH54VP0P229FY6AB8MQYBBX8HE2VNSS4B98BT 0 xSTX STX-A 34727 28000000 True 618006 63000
495 SP3QGM78R5MHE06380K64X6J43VZ0YN9C520PTWY2 0 xSTX STX-A 34727 858825050 True 0 59651
496 SP158V6RZEA7N9WQDYZMQZNSXJPTSYJWAGH1N8AYA 0 STX STX-A 34727 9414465658 True 255722700 59651
497 SP2RHCM6K2Z3D40Z4HR5XQ4N86W8GRT4FXDM3WX16 0 xSTX STX-A 34727 573000000 True 655520 63000
501 SP207D4A7XMNGA7JJ34FD724A0NYV7K7MYDWK9T21 2098190678 STX STX-A 34729 0 False 0 102393
502 SP2CDNFPSGPRNRNE1T24297PP4NDCHPZHQDER3X67 0 STX STX-A 34729 43185 True 3908 63707
504 SPKQYX7V64SGYPZGBC7MV98MX4D39SCF45PQN9MD 0 xSTX STX-A 34731 3594239511 True 0 63634
505 SP2XPPSEH7WFSTPEPXB06F6H08J01VVVE0JEPQWVD 0 STX STX-A 34731 64764 True 5860 63707
506 SP2SWNHT2Z548J90EY7M5QCW1GXSZ0PH0CR954SXB 0 xSTX STX-A 34732 81283991 True 14448345 82833
509 SP3QRRS9QBBYBVNX2Y7WS4SY51N45YC9JH6EXQJTG 0 xSTX STX-A 34733 194000000 True 0 63000
511 SP59VK4J3F5ZSS7WX6VB1AAWD2KH7W668VFC2QCD 0 STX STX-A 34734 43170 True 3906 63707
512 SPJNDBYSGM0Y6TVXDCQFVF7WT3GQ4Y511AVKV7Z2 0 xSTX STX-A 34734 151801900 True 0 63000
513 SP3Y23BS1CJK48RRCYMGVNCBK22H9V5XHKDKCAW9A 0 STX STX-A 34735 21585 True 1953 63707
514 SP1TW2MNREE41DMPEGARWZ4DV41JQCD21YWZ73EEZ 0 STX STX-A 34735 64755 True 5859 63707
515 SP3THKNVVSBKVS4M82PQ6WPFT74D96K0XD28T1Q10 0 xSTX STX-A 34737 750000000 True 88826467 64114
516 SP3Y1S03R3FEARM11YT2RF72ASK7JSP81VWT4TFPR 0 STX STX-A 34737 43203 True 6581 63707
517 SP3THKNVVSBKVS4M82PQ6WPFT74D96K0XD28T1Q10 0 xSTX STX-B 34740 500000000 True 0 59650
518 SP2A1W8JP4EQY55ZTJ4HFQMK4WPF9HW4XYZWNEWDC 0 STX STX-A 34741 65250 True 21966 63707
519 SP1RDZTBNX4Z5TYP9EW12RYQ231M47PBSZYYH6T6X 0 STX STX-A 34742 21749 True 8484 63707
